label_no,label0.0,Siasat Amerika
1.0,Rusia Self-Defense-Mechanism
2.0,Sejarah Indonesia-Rusia
3.0,Non-Blok
4.0,Anti Amerika
5.0,Standar Ganda Negara Barat
6.0,Banyak Issue Internal
7.0,Bilateral Indonesia-Rusia
8.0,Intervensi/Pengaruh Barat
9.0,Kajian Kurang Dalam
10.0,Karisma Putin
11.0,Politik 2 kaki
12.0,Pemerintah Kurang Cakap
13.0,Perdamaian Dunia
14.0,Keamanan Indonesia
15.0,Muslim Chechnya
16.0,Sebagai penengah
17.0,Amanah Konstitusi UUD 1945
18.0,Perdamaian dunia
19.0,Ukraina Negara Berdaulat
20.0,Amanah Konstitusi UUD45
21.0,Mayoritas Muslim dukung Rusia
22.0,Pemimpin Indonesia
23.0,Pengaruh Tiongkok
24.0,Kemanusiaan
25.0,Ekspansi Rusia
26.0,Perang melanggar Hukum Internasional
27.0,Keamanan Masyarakat Indonesia
28.0,Mentri Tidak Sejalan dengan Presiden
29.0,Pengaruh Indonesia
30.0,Sejarah Indonesia
31.0,Ekonomi
32.0,Bersikap Normatif
